,가게명,업종,전화번호,주소,별점,리뷰
0,MTA그린태권도,태권도장,0507-1476-2339,대전 중구 평촌로 84 극동상가 306호,"별점
4.92",방문자리뷰 113 블로그리뷰 36 
1,버드내태권도,태권도,010-4456-5532,대전 중구 태평로 18 4층,-,방문자리뷰 14 
2,용인대다정태권도,태권도,042-222-3001,대전 중구 목동로 37 목양마을아파트 단지상가 3층,-,방문자리뷰 22 블로그리뷰 7 
3,용인대온누리태권도,태권도,0507-1438-1181,대전 중구 태평로 15,"별점
4.62",방문자리뷰 84 블로그리뷰 1 
4,해오름태권도장,태권도,0507-1379-2712,대전 중구 대종로 205 2층,-,방문자리뷰 37 블로그리뷰 1 
5,경희태권도,태권도,042-581-0177,대전 중구 보문산로 31 114동 후문상가 3층,-,방문자리뷰 28 
6,용인대우리태권도 목동관,태권도,042-252-2002,대전 중구 목동로 42 대아플러스,-,방문자리뷰 4 
7,스포렉스태권도,태권도,042-535-3500,대전 중구 유등천동로 468-2 2층 스포렉스태권도,-,방문자리뷰 20 
8,꾸러기태권도,태권도,0507-1459-3438,대전 중구 수도산로 13 2층,-,방문자리뷰 1 
9,한국체대석사태권도장,태권도,0507-1307-4231,대전 중구 목동로 61 예당프라자 4층,-,방문자리뷰 30 블로그리뷰 10 
10,한사랑태권도,"무예,격투기",010-8881-8922,대전 중구 동서대로 1388 금호 한사랑아파트 상가 2층,"별점
4.79",방문자리뷰 72 
11,연세이글태권도,"무예,격투기",0507-1492-8043,대전 중구 목중로 55-7 1전1층,-,방문자리뷰 80 
12,용인대으뜸태권도,"무예,격투기",042-253-3536,대전 중구 계백로1716번길 26,"별점
4.63",방문자리뷰 46 
13,충남태권도학원,"무예,격투기",042-525-5833,대전 중구 계룡로 852 삼성아파트상가 3 층 309호,-,방문자리뷰 42 블로그리뷰 2 
14,정심태권도,"무예,격투기",042-584-7222,대전 중구 당디로50번길 10 2층 정심태권도,-,방문자리뷰 62 블로그리뷰 1 
15,타이거태권도,"무예,격투기",042-536-4367,대전 중구 평촌로 111 상가 3층 타이거태권도,-,방문자리뷰 13 
16,한울태권도,"무예,격투기",042-223-1101,대전 중구 목중로 45-6,-,방문자리뷰 35 
17,오현태권도장,"무예,격투기",0507-1402-2694,대전 중구 당디로6번길 69 탑할인마트3층,-,방문자리뷰 47 블로그리뷰 71 
18,소나무향기태권도,"무예,격투기",042-226-7880,대전 중구 목동로 68 3층 소나무향기태권도,-,방문자리뷰 62 블로그리뷰 13 
19,용인대새봄태권도,"무예,격투기",042-535-4460,"대전 중구 수침로111번길 7 2층, 3층 용인대 새봄 태권도",-,방문자리뷰 9 
20,드래곤태권도,"무예,격투기",042-254-4200,대전 중구 중앙로13번길 52 3층 드래곤태권도,-,방문자리뷰 55 블로그리뷰 4 
21,소나무향기태권도,"무예,격투기",042-538-8002,대전 중구 유천로132번길 13,-,방문자리뷰 40 블로그리뷰 3 
22,무궁화태권도장 태평관,"무예,격투기",042-538-1113,대전 중구 계백로1615번길 50,-,방문자리뷰 19 
23,경희대청룡태권도,"무예,격투기",042-583-1234,대전 중구 문화로 110 2층 경희대청룡태권도,-,방문자리뷰 4 
24,용인대우리태권도,"무예,격투기",042-222-7477,대전 중구 목중로 50,-,방문자리뷰 30 블로그리뷰 1 
25,용인대백룡태권도,"무예,격투기",042-583-9577,대전 중구 서문로 32 문화동 한밭우성 아파트 상가 203호,-,방문자리뷰 9 블로그리뷰 6 
26,용인대글꽃태권도,"무예,격투기",042-255-7473,대전 중구 계룡로918번길 27 대운빌딩 2층,-,방문자리뷰 38 블로그리뷰 1 
27,단국대나래태권도,"무예,격투기",042-256-7676,대전 중구 충무로107번길 100,-,방문자리뷰 10 블로그리뷰 1 
28,호신태권도,"무예,격투기",042-623-7400,대전 중구 선화로22번길 66 2층,-,방문자리뷰 1 
29,해오름태권도,"무예,격투기",042-582-1896,대전 중구 과례로 25 4층 해오름태권도,-,방문자리뷰 11 블로그리뷰 2 
30,극동태권도장,"무예,격투기",042-272-8107,대전 중구 대종로 204,-,방문자리뷰 5 
31,동아태권도체육관,"무예,격투기",042-257-8883,대전 중구 보문로 311,-,방문자리뷰 13 
32,태권도동아체육관,"무예,격투기",042-256-8884,대전 중구 중앙로13번길 63,-,방문자리뷰 25 
33,백두태권도,"무예,격투기",042-223-5545,대전 중구 서문로 96 센트럴파크2단지상가 304호,-,방문자리뷰 5 블로그리뷰 44 
34,하나빛 태권도,"무예,격투기",042-223-8887,"대전 중구 선화서로 115 제상가동 301, 302호",-,블로그리뷰 1 
35,전진태권도,"무예,격투기",042-584-1492,대전 중구 대둔산로 353,-,방문자리뷰 1 블로그리뷰 1 
36,연세청림태권도,"무예,격투기",042-524-0133,대전 중구 태평로 29,-,방문자리뷰 26 
37,송림태권도,"무예,격투기",042-537-3331,대전 중구 수침로55번길 27,-,방문자리뷰 10 
38,용인대정심태권도,"무예,격투기",-,대전 중구 대둔산로 339 승준빌딩,-,
39,국제종합체육관,"무예,격투기",042-522-6597,대전 중구 문화로 91-2 B1,-,
40,맹호태권도체육관,"무예,격투기",042-226-2749,대전 중구 대종로 327,-,방문자리뷰 18 블로그리뷰 2 
41,한사랑태권도 행복도장,"무예,격투기",010-5621-8933,"대전 중구 선화서로 85 3층 306호, 307호",-,블로그리뷰 1 
42,남북태권도,"무예,격투기",042-271-7585,대전 중구 모암로17번길 1,-,
43,용인대 백승태권도,"무예,격투기",042-585-4112,대전 중구 대둔산로 271,-,
44,경성태권도,태권도,042-533-3307,대전 서구 대덕대로 150 . 상가동 303호,-,방문자리뷰 28 
45,S리틀짐태권도장,태권도,0507-1329-8290,대전 서구 문정로 122 현형빌딩 3층 S리틀짐태권도장교육관,-,방문자리뷰 10 블로그리뷰 14 
46,용인대다사랑태권도,태권도,042-283-7222,대전 동구 대전로542번길 80-77 4층 용인대 다사랑 태권도,"별점
4.39",방문자리뷰 37 
