,가게명,업종,전화번호,주소
0,크림시크,카페,0507-1351-9271,서울 중구 명동7길 13 1층 크림시크
1,베카롱베이글,베이글,010-7556-2975,서울 중구 다산로42길 49 101호
2,더 스팟 패뷸러스,"카페,디저트",0507-1422-1981,서울 중구 명동2길 22 1.2층
3,공간갑,"카페,디저트",0507-1362-4569,"서울 중구 수표로 48-8 1, 2층"
4,브레디포스트 명동점,"카페,디저트",0507-1388-9430,"서울 중구 명동8가길 31 1, 3층"
5,덕수궁 리에제와플,와플,0507-1339-5202,서울 중구 덕수궁길 5
6,커피앤시가렛,카페,02-777-7557,서울 중구 서소문로 116 유원빌딩17층 1706호
7,커피한약방,카페,070-4148-4242,서울 중구 삼일대로12길 16-6
8,태극당,베이커리,02-2279-3152,서울 중구 동호로24길 7
9,적당,"카페,디저트",0507-1312-8928,서울 중구 을지로 29 1층 후문
10,아소토베이커리,베이커리,0507-1331-5076,서울 중구 수표로10길 19 1층
11,분카샤 을지로점,"카페,디저트",0507-1401-6086,서울 중구 을지로14길 20 호성P&P 2층
12,빠우 을지로점,도넛,0507-1374-9285,서울 중구 을지로 157 대림상가 3층 라열 361호
13,섹터커피 충무로점,"카페,디저트",070-8866-4887,서울 중구 퇴계로 198 2층
14,르빵 명동성당점,베이커리,02-3789-7545,서울 중구 명동길 74 B103호
15,피즈소셜클럽,"카페,디저트",0507-1377-4315,서울 중구 을지로35길 51-4 4층
16,리사르커피 약수점,"카페,디저트",0507-1407-5538,서울 중구 다산로8길 16-7
17,몰또 이탈리안 에스프레소바,"카페,디저트",02-778-7779,서울 중구 명동길 73 3층
18,맷차 명동본점,"카페,디저트",02-6952-4170,서울 중구 명동9길 17 1~4층
19,커피스니퍼 서울시청점,"카페,디저트",02-3789-1781,서울 중구 세종대로16길 27 남양빌딩 1층 102호
20,K SPOT 수국전망대 카페,"카페,디저트",0507-1403-7224,서울 중구 퇴계로 33 서울로7017 육교 위(2층) K-SPOT Cafe
21,콘웨이커피,"카페,디저트",0507-1399-6607,서울 중구 다산로11길 13 복장문화회관 1층
22,재해석,"카페,디저트",010-4815-4642,서울 중구 충무로2길 28 2층 재해석 카페(나무계단 오른 후 파란색문)
23,어니스트,"카페,디저트",010-4152-7281,"서울 중구 동호로 218 , 1층(신당동)"
24,커피그래,"카페,디저트",0507-1348-1256,서울 중구 동호로 204 1층
25,포엠,"카페,디저트",02-776-5003,서울 중구 명동4길 13
26,수잔나의 앞치마,"카페,디저트",0507-1495-8007,서울 중구 퇴계로49길 24
27,커피루소 정동,"카페,디저트",02-772-9935,서울 중구 정동길 17 1층
29,러시아케익,베이커리,02-6053-4079,서울 중구 을지로42길 7
30,메일룸 신당,"카페,디저트",0507-1431-3124,서울 중구 퇴계로83길 10-7 1층~3층
31,섹터커피 을지로점,"카페,디저트",070-4334-0300,서울 중구 마른내로 43 1층
32,아포테케리,카페,02-2236-8987,서울 중구 퇴계로 409-9
33,죠지,"카페,디저트",010-6208-6326,서울 중구 을지로12길 6 한일빌딩 302호
34,맥컬리커피,"카페,디저트",0507-1370-9635,서울 중구 충무로5길 6-1 2층
35,계단집,"카페,디저트",070-4419-7776,서울 중구 퇴계로6길 35
36,퀸즈베리도넛하우스,도넛,0507-1472-4112,서울 중구 다산로19길 29 1층
37,라운드앤드,베이커리,02-753-7003,서울 중구 정동길 35 두비빌딩
38,팀홀튼 숭례문그랜드센트럴점,카페,070-7450-1003,서울 중구 세종대로 14 1층 팀홀튼 숭례문그랜드센트럴점
39,콤포타블 시청,"카페,디저트",0507-1356-6525,서울 중구 서소문로 115 1층
40,코인 명동2호점,"카페,디저트",02-754-1506,서울 중구 명동9길 29
41,섬광,"카페,디저트",070-8866-8485,서울 중구 창경궁로1길 38 5층
42,코인 명동1호점,"카페,디저트",02-753-1667,서울 중구 명동6길 10
43,애락,카페,0507-1367-7045,서울 중구 청구로22길 36 1층
44,커피인쇄소,카페,070-2345-6789,서울 중구 퇴계로27길 12-5 (2층)
45,캐시미어커피,카페,0507-1349-5918,서울 중구 수표로6길 33-2 1층
46,더하우스1932,"카페,디저트",02-365-1932,서울 중구 만리재로35길 7 더하우스1932
47,알렉스룸,"카페,디저트",0507-1431-1513,서울 중구 을지로18길 8 2층 알렉스룸
48,이프프커피,"카페,디저트",0507-1374-4507,서울 중구 을지로 157 3층 라377호
49,제주스 파인에비뉴점,"과일,주스전문점",0507-2093-9279,서울 중구 을지로 100 B동 지하1층 10호
50,심세정,베이커리,0507-1444-7579,서울 중구 퇴계로 409-11
51,호랑이,카페,02-2269-5880,서울 중구 을지로 157 대림상가3층 (바깥쪽3층)
52,가배도 시청점,카페,0507-1390-2542,서울 중구 세종대로 79 1-4층
53,가배도 명동,카페,0507-1304-4542,서울 중구 퇴계로18길 10 1층
54,펄시커피,카페,0507-1322-5302,서울 중구 동호로20길 34-57 1층 펄시커피
55,콘티뉴이티,"카페,디저트",0507-1359-5675,서울 중구 수표로 30 OK빌딩 3층
56,롯데호텔서울 델리카한스,베이커리,02-317-7148,서울 중구 을지로 30
57,페인트커피앤바 을지로점,"카페,디저트",0507-1407-5820,서울 중구 마른내로 103 1층
58,오버트,카페,02-2232-8188,서울 중구 동호로 220 1층
59,서울신라호텔 패스트리부티크,베이커리,02-2230-3377,서울 중구 동호로 249
60,어반플랜트 명동,"카페,디저트",0507-1480-0154,서울 중구 명동8나길 38 1층
61,약수터,"카페,디저트",0507-1484-2218,서울 중구 다산로8길 11 2층
62,리사르커피 명동점,"카페,디저트",0507-1307-0961,서울 중구 명동8가길 58 1층
63,해운대 달맞이 빵,"카페,디저트",010-2989-1205,서울 중구 마른내로 18 1층
64,리프커피,카페,0507-1347-2026,서울 중구 동호로 195-15 1층 리프커피
65,오와케이크 신당역점,"카페,디저트",0507-1390-2402,서울 중구 다산로44길 86 1층
66,와글와글베이크샵,베이커리,0507-1431-5156,서울 중구 을지로 245 1층
67,마일더스,"카페,디저트",0507-1446-1242,서울 중구 난계로23길 1-6 마일더스
68,을지빈,카페,0507-1313-8818,서울 중구 을지로14길 21 2층 을지빈
69,Yoyogurt,"카페,디저트",010-5865-9994,서울 중구 명동8길 8-13 1층
70,쌀베베,베이글,0507-1446-8962,서울 중구 서소문로 89-20 1층 104호
71,드로우에스프레소바,"카페,디저트",0507-1477-8955,서울 중구 청파로 453 1층 드로우에스프레소바
72,덕수궁 카페 돌담콩,크레페,0507-1419-7729,"서울 중구 덕수궁길 9 현진빌딩 102호, 103호"
73,홍만당 명동본점,"카페,디저트",02-777-4422,서울 중구 명동8길 11-6
74,델리델리,베이커리,-,서울 중구 퇴계로 124
75,을지로 베로나,"카페,디저트",0507-1348-0526,서울 중구 충무로5길 24 3층
76,오뷔르베이커리,베이커리,0507-1475-0624,"서울 중구 마른내로2길 17 성신 빌딩 오뷔르 베이커리 1,2 F"
77,피어커피 광희문,"카페,디저트",0507-1306-1464,서울 중구 청구로 123 피어커피 광희문
78,에프오커피,"카페,디저트",0507-0177-4819,서울 중구 다산로38길 12 1층
79,티프 동대문역사문화공원,"카페,디저트",0507-1372-8922,서울 중구 퇴계로53길 6-17 지하1층
80,포비 을지로점,베이커리,02-6020-0880,서울 중구 청계천로 100 시그니처 타워 1층
81,르풀,카페,02-3789-0400,서울 중구 정동길 33 신아일보
82,보잉,"카페,디저트",0507-1378-2784,서울 중구 충무로5길 24 2층
83,카페 와일드덕,브런치카페,02-1111-3333,서울 중구 동호로15길 43 미래빌딩 지하 1층
84,무네이 카페,"카페,디저트",070-7769-0331,서울 중구 마른내로4길 11 2층
85,헤베커피,카페,0507-1322-0318,서울 중구 필동로 32 낙원빌딩 1층
86,링링,"카페,디저트",-,서울 중구 청구로8길 35-1 1층
87,About Bagel,베이커리,-,"서울 중구 명동7가길 22 1층, 2층"
88,히든아일렛,"카페,디저트",070-7774-9689,서울 중구 세종대로14길 17-5 2층
89,빵굼터 약수동점,베이커리,02-2231-9380,서울 중구 다산로 139 랜더스빌딩
